"taxon_name","leaf_length","plant_height","leaf_width","leaf_area","plant_growth_form","woodiness_detailed","leaf_shape","life_history","fam","LxW","residuals","logLxW","log_area","log_length","log_width","log_height"
"Corymbia ferruginea",112.166666666667,9.8,58.3333333333333,4699.83333333333,"tree","woody","cordate oblong ovate","perennial","Myrtaceae",6543.05555555556,0.149398430717764,8.78615954567208,8.45528232607649,4.71998586041667,4.0661736852554,2.28238238567653
"Corymbia ficifolia",107.5,8.66666666666667,38.6666666666667,3130.63888888889,"tree","woody","narrowly_ovate ovate","perennial","Myrtaceae",4156.66666666667,0.134304044422318,8.33246875000597,8.04899238056086,4.67749084756772,3.65497790243825,2.15948424935337
"Corymbia flavescens",150.833333333333,12.6,38.1666666666667,2571.64,"tree","woody","lanceolate ovate","perennial","Myrtaceae",5756.80555555556,-0.341398238123704,8.65813800879806,7.85229910666515,5.01617547447187,3.64196253432618,2.53369681395743
"Corymbia foelscheana",176.818181818182,9.57142857142857,89.5454545454545,10390.4102561538,"tree","woody","deltate narrowly_ovate orbicular widely_ovate","perennial","Myrtaceae",15833.2644628099,0.180768167298903,9.66986835162789,9.24863856898783,5.17512198325418,4.49474636837372,2.25878247033565
"Corymbia grandifolia",137.5,13.6,65,12356.2555566667,"tree","woody","cordate lanceolate ovate widely_elliptical","perennial","Myrtaceae",8937.5,0.84460598240403,9.09801118700226,9.42191773662377,4.92362391710663,4.17438726989564,2.61006979274201
"Corymbia greeniana",161.666666666667,9.81818181818182,46.6666666666667,5083.7166665,"tree","woody","narrowly_ovate ovate","perennial","Myrtaceae",7544.44444444444,0.105303834857451,8.92856673621057,8.53379790032755,5.08553660226937,3.84303013394119,2.28423595432585
"Corymbia gummifera",86.196875,28.6363636363636,25.4057142857143,4036.97642857143,"tree","woody","lanceolate","perennial","Myrtaceae",2189.89317857143,0.938093797869292,7.69160804471289,8.30325128198809,4.45663392411226,3.23497412060063,3.35467736602726
"Corymbia haematoxylon",95.8333333333333,9.57142857142857,29.5,2390.75,"tree","woody","lanceolate narrowly_ovate","perennial","Myrtaceae",2827.08333333333,0.196765848449446,7.94700083491507,7.77936240322965,4.5626105715693,3.38439026334577,2.25878247033565
"Corymbia hamersleyana",122.5,8,17.5,1791.95,"mallee tree","woody","lanceolate","perennial","Myrtaceae",2143.75,0.147187915368535,7.67031191091425,7.4910596913599,4.80811102998478,2.86220088092947,2.07944154167984
"Corymbia hendersonii",120,25,20.25,1434.95,"tree","woody","lanceolate","perennial","Myrtaceae",2430,-0.181823956995055,7.79564653633459,7.26888528438111,4.78749174278205,3.00815479355255,3.2188758248682
"Corymbia henryi",208,25,34.6,5491.92773333333,"tree","woody","lanceolate","perennial","Myrtaceae",7196.8,0.22277687393497,8.881391761765,8.61103460826766,5.33753807970132,3.54385368206368,3.2188758248682
